Seja,Delovno telo,Tip,Datum
38. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,20. 4. 2022
13. nujna seja," Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanje SDS za predčasne volitve poslancev v Državni zbor 2018 ",Seja,12. 4. 2022
17. redna seja, Komisija za odnose s Slovenci v zamejstvu in po svetu ,Seja,7. 4. 2022
73. nujna seja, Odbor za finance ,Seja,6. 4. 2022
38. nujna seja, Odbor za pravosodje ,Seja,6. 4. 2022
10. nujna seja, Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij zaradi suma nedopustnega političnega vmešavanja v delo policije in političnega vplivanja na potek oziroma izid predkazenskih in drugih postopkov ,Seja,5. 4. 2022
69. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,5. 4. 2022
45. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,4. 4. 2022
58. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,4. 4. 2022
72. nujna seja, Odbor za finance ,Seja,1. 4. 2022
21. nujna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,31. 3. 2022
26. nujna seja, Mandatno-volilna komisija ,Seja,30. 3. 2022
12. nujna seja," Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanje SDS za predčasne volitve poslancev v Državni zbor 2018 ",Seja,30. 3. 2022
21. redna seja, Odbor za kulturo ,Seja,30. 3. 2022
46. nujna seja, Odbor za kulturo ,Seja,30. 3. 2022
10. nujna seja," Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij za finančno neustrezne ukrepe in sum neupravičenega omejevanja pravic pri izvajanju ukrepov, povezanih z epidemijo nalezljive bolezni COVID-19 ",Seja,29. 3. 2022
77. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,28. 3. 2022
40. nujna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,28. 3. 2022
32. nujna seja, (skupna seja) Odbor za obrambo ,Seja,28. 3. 2022
78. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,28. 3. 2022
26. redna seja, Komisija za nadzor javnih financ ,Seja,24. 3. 2022
108. redna seja, Odbor za zunanjo politiko ,Seja,24. 3. 2022
39. nujna seja, Odbor za zunanjo politiko ,Seja,24. 3. 2022
68. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,24. 3. 2022
109. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,18. 3. 2022
12. redna seja, Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij zaradi suma nedopustnega političnega vmešavanja v delo policije in političnega vplivanja na potek oziroma izid predkazenskih in drugih postopkov ,Seja,18. 3. 2022
135. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,18. 3. 2022
76. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,16. 3. 2022
38. redna seja, Odbor za pravosodje ,Seja,14. 3. 2022
134. redna seja, Odbor za zadeve Evropske unije ,Seja,11. 3. 2022
57. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,11. 3. 2022
71. nujna seja, (skupna seja) Odbor za finance ,Seja,10. 3. 2022
29. nujna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,10. 3. 2022
