xml:id	count	correct_string
AdnrejGrahWhatmough	1	AndrejGrahWhatmough
AdnrejČernigoj	1	AndrejČernigoj
AdnrejŠircelj	1	AndrejŠircelj
AdolfVidenšek	1	AdolfVidenšek
AidanCerar	1	AidanCerar
AjaVrenjak	2	AjaVrenjak
AjdaCuderman	5	AjdaCuderman
AjdaErjavecBartolj	1	AjdaErjavecBartolj
AlajžKovačič	2	AljažKovačič
AlažKovačič	1	AljažKovačič
AlbertoScheriani	12	AlbertoScheriani
AlbertoSkerjane	1	AlbertoSkerjane
AlbinIgličar	1	AlbinIgličar
AlekValenčič	1	AlekValenčič
AleksJakulin	3	AleksJakulin
AleksandaraPivec	2	AleksandraPivec
AleksanderBratina	1	AleksanderBratina
AleksanderJeršič	1	AleksanderJeršič
AleksanderJevšek	3	AleksanderJevšek
AleksanderJus	1	AleksanderJus
AleksanderKoren	2	AleksanderKoren
AleksanderMervar	1	AleksanderMervar
AleksanderPevec	5	AleksanderPevec
AleksanderRajh	6	AleksanderRajh
AleksanderReberšek	144	AleksanderReberšek
AleksanderStepanović	2	AleksanderStepanović
AleksanderŽvokelj	1	AleksanderŽvokelj
AleksandraMarijanović	1	AleksandraMarijanović
AleksandraPivec	79	AleksandraPivec
AleksandraSpasojević	1	AleksandraSpasojević
AlenKofol	3	AlenKofol
AlenPečarič	1	AlenPečarič
AlenjaJeraj	2	AlenkaJeraj
AlenkaBrantušek	1	AlenkaBratušek
AlenkaBratušek	233	AlenkaBratušek
AlenkaBrautšek	1	AlenkaBratušek
AlenkaErmenc	17	AlenkaErmenc
AlenkaForte	65	AlenkaForte
AlenkaJeraj	361	AlenkaJeraj
AlenkaJerja	1	AlenkaJeraj
AlenkaKavčič	1	AlenkaKavčič
AlenkaKlemenčič	3	AlenkaKlemenčič
AlenkaKlepac	2	AlenkaKlepec
AlenkaKlepec	3	AlenkaKlepec
AlenkaKošorokHumar	2	AlenkaKošorokHumar
AlenkaKrečBricelj	1	AlenkaKrečBricelj
AlenkaPavlovec	2	AlenkaPavlovec
AlenkaPotočnik	3	AlenkaPotočnik
AlenkaRožajBrvar	1	AlenkaRožajBrvar
AlenkaSuhadolnik	2	AlenkaSuhadolnik
AlenkaTropSkaza	1	AlenkaTropSkaza
AlenkaŠverc	1	AlenkaŠverc
AlenkraBratušek	1	AlenkaBratušek
AlenksanderReberšek	1	AleksanderReberšek
AlenskanderReberšek	1	AleksanderReberšek
AlešBošnjak	1	AlešBošnjak
AlešBržan	2	AlešBržan
AlešBucik	4	AlešBucik
AlešButala	32	AlešButala
AlešButalo	1	AlešButala
AlešCantartutti	2	AlešCantarutti
AlešCantarutti	87	AlešCantarutti
AlešCanterutti	2	AlešCantarutti
AlešGolja	3	AlešGolja
AlešGorišek	4	AlešGorišek
AlešHam	1	AlešHam
AlešHojs	162	AlešHojs
AlešIrgolič	19	AlešIrgolič
AlešIrgulič	1	AlešIrgolič
AlešIvković	1	AlešIvković
AlešIvkovič	1	AlešIvković
AlešKaluža	1	AlešKaluža
AlešKolmanič	1	AlešKolmanič
AlešKovačič	1	AljažKovačič
AlešLipičnik	24	AlešLipičnik
AlešLovše	5	AlešLovše
AlešMaver	1	AlešMaver
AlešMihelič	67	AlešMihelič
AlešMišmaš	2	AlešMišmaš
AlešMlakar	2	AlešMlakar
AlešMrzel	3	AlešMrzel
AlešOjsteršek	1	AlešOjsteršek
AlešOjstršek	2	AlešOjsteršek
AlešPelan	1	AlešPelan
AlešPrijon	63	AlešPrijon
AlešRemih	3	AlešRemih
AlešRozman	7	AlešRozman
AlešSedmak	1	AlešSedmak
AlešVodopivec	1	AlešVodopivec
AlešVrhovec	2	AlešVrhovec
AlešZalar	1	AlešZalar
AlešaSovinc	2	AlešaSovinc
AlešŠabeder	65	AlešŠabeder
AlešŠebeder	1	AlešŠabeder
AljaLobnik	3	AljaLobnik
AljašKovačič	5	AljažKovačič
AljažKavčič	1	AljažKovačič
AljažKovačiič	1	AljažKovačič
AljažKovačič	477	AljažKovačič
AljažPestotnik	2	AljažPestotnik
AljažVrhovnik	1	AljažVrhovnik
AljošaCuravić	2	AljošaCuravić
AljošaPetek	1	AljošaPetek
AljošaČeč	1	AljošaČeč
AlmedinaSuljkanović	1	AlmedinaSuljkanović
AlojzGrabnar	1	AlojzGrabner
AlojzGrabner	1	AlojzGrabner
AlojzHojs	1	AlešHojs
AlojzIhan	6	AlojzIhan
AlojzKovšca	47	AlojzKovšca
AlojzKovščca	1	AlojzKovšca
AlojzKrapež	1	AlojzKrapež
AlojzPeterle	5	AlojzPeterle
AlojzSelišnik	1	AlojzSelišnik
AlojzSladič	6	AlojzSladič
AlojzStana	56	AlojzStana
AlojzVarga	1	AlojzVarga
AlojzijBoh	1	AlojzijBoh
AlojzijFerlinc	2	AlojzijFerlinc
AlojzŠteiner	1	AlojzŠteiner
AmirAlibabić	2	AmirAlibabić
AmirAlibabič	1	AmirAlibabić
AnaBoljka	5	AnaBoljka
AnaGregorič	3	AnaGregorič
AnaJaklič	1	AnaJaklič
AnaJereb	1	AnaJereb
AnaKandare	1	AnaKandare
AnaKroflič	2	AnaKroflič
AnaMarijaHren	1	AnamariaHren
AnaMedved	6	AnaMedved
AnaPorok	1	AnaPorok
AnaSavšek	1	AnaSavšek
AnaVodičar	2	AnaVodičar
AnamariaHren	3	AnamariaHren
AnamarijaMeglič	1	AnamarijaMeglič
AnamarijaRajk	1	AnamarijaRajk
AnamarijaValentinaMarolt	6	AnamarijaValentinaMarolt
AndarejČernigoj	1	AndrejČernigoj
AndejaZabret	4	AndrejaZabret
AndejŠircelj	1	AndrejŠircelj
AnderejŠušmelj	1	AndrejŠušmelj
AnderjČernigoj	2	AndrejČernigoj
AnderjŠušmelj	1	AndrejŠušmelj
AndnrejŠircelj	1	AndrejŠircelj
Andolšek	1	MatejAndolšek
AndražGrum	2	AndražGrum
AndražZgonc	1	AndražZgonc
AndreaKovač	6	AndreaKovač
AndrejBerginc	1	AndrejBerginc
AndrejBernarčič	2	AndrejBernarčič
AndrejBertoncelj	87	AndrejBertoncelj
AndrejBibič	2	AndrejBibič
AndrejBožič	13	AndrejBožič
