xml:id,count
AdnrejGrahWhatmough,1
AdnrejČernigoj,1
AdnrejŠircelj,1
AdolfVidenšek,1
AidanCerar,1
AjaVrenjak,2
AjdaCuderman,5
AjdaErjavecBartolj,1
AlajžKovačič,2
AlažKovačič,1
AlbertoScheriani,12
AlbertoSkerjane,1
AlbinIgličar,1
AlekValenčič,1
AleksJakulin,3
AleksandaraPivec,2
AleksanderBratina,1
AleksanderJeršič,1
AleksanderJevšek,3
AleksanderJus,1
AleksanderKoren,2
AleksanderMervar,1
AleksanderPevec,5
AleksanderRajh,6
AleksanderReberšek,144
AleksanderStepanović,2
AleksanderŽvokelj,1
AleksandraMarijanović,1
AleksandraPivec,79
AleksandraSpasojević,1
AlenKofol,3
AlenPečarič,1
AlenjaJeraj,2
AlenkaBrantušek,1
AlenkaBratušek,233
AlenkaBrautšek,1
AlenkaErmenc,17
AlenkaForte,65
AlenkaJeraj,361
AlenkaJerja,1
AlenkaKavčič,1
AlenkaKlemenčič,3
AlenkaKlepac,2
AlenkaKlepec,3
AlenkaKošorokHumar,2
AlenkaKrečBricelj,1
AlenkaPavlovec,2
AlenkaPotočnik,3
AlenkaRožajBrvar,1
AlenkaSuhadolnik,2
AlenkaTropSkaza,1
AlenkaŠverc,1
AlenkraBratušek,1
AlenksanderReberšek,1
AlenskanderReberšek,1
AlešBošnjak,1
AlešBržan,2
AlešBucik,4
AlešButala,32
AlešButalo,1
AlešCantartutti,2
AlešCantarutti,87
AlešCanterutti,2
AlešGolja,3
AlešGorišek,4
AlešHam,1
AlešHojs,162
AlešIrgolič,19
AlešIrgulič,1
AlešIvković,1
AlešIvkovič,1
AlešKaluža,1
AlešKolmanič,1
AlešKovačič,1
AlešLipičnik,24
AlešLovše,5
AlešMaver,1
AlešMihelič,67
AlešMišmaš,2
AlešMlakar,2
AlešMrzel,3
AlešOjsteršek,1
AlešOjstršek,2
AlešPelan,1
AlešPrijon,63
AlešRemih,3
AlešRozman,7
AlešSedmak,1
AlešVodopivec,1
AlešVrhovec,2
AlešZalar,1
AlešaSovinc,2
AlešŠabeder,65
AlešŠebeder,1
AljaLobnik,3
AljašKovačič,5
AljažKavčič,1
AljažKovačiič,1
AljažKovačič,477
AljažPestotnik,2
AljažVrhovnik,1
AljošaCuravić,2
AljošaPetek,1
AljošaČeč,1
AlmedinaSuljkanović,1
AlojzGrabnar,1
AlojzGrabner,1
AlojzHojs,1
AlojzIhan,6
AlojzKovšca,47
AlojzKovščca,1
AlojzKrapež,1
AlojzPeterle,5
AlojzSelišnik,1
AlojzSladič,6
AlojzStana,56
AlojzVarga,1
AlojzijBoh,1
AlojzijFerlinc,2
AlojzŠteiner,1
AmirAlibabić,2
AmirAlibabič,1
AnaBoljka,5
AnaGregorič,3
AnaJaklič,1
AnaJereb,1
AnaKandare,1
AnaKroflič,2
AnaMarijaHren,1
AnaMedved,6
AnaPorok,1
AnaSavšek,1
AnaVodičar,2
AnamariaHren,3
AnamarijaMeglič,1
AnamarijaRajk,1
AnamarijaValentinaMarolt,6
AndarejČernigoj,1
AndejaZabret,4
AndejŠircelj,1
AnderejŠušmelj,1
AnderjČernigoj,2
AnderjŠušmelj,1
AndnrejŠircelj,1
Andolšek,1
AndražGrum,2
AndražZgonc,1
AndreaKovač,6
AndrejBerginc,1
AndrejBernarčič,2
AndrejBertoncelj,87
AndrejBibič,2
AndrejBožič,13
AndrejBrezavšček,4
AndrejBrtoncelj,1
AndrejCvenk,1
AndrejDočinski,1
AndrejDrašler,1
AndrejEror,1
AndrejFerlinc,14
AndrejFink,2
AndrejGernigoj,2
AndrejGnezda,9
